id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
060570012051001,0,0,0,0,1,0.7,0,0.6,1.3,56928.33421709674,78.33030057659076
060570007015024,0,0,0,0,4,2.8,0,2.4,5.2,157382.81757983819,304.60186380266606
060570012082005,6,5,0,1,22,22.4,7.2,17.1,46.7,55838.672323448605,257.3889942599895
060570007021022,0,0,0,0,5,3.5,0,3,6.5,141008.7182287283,158.16845150185787
060570009002070,0,0,0,0,4,2.8,0,2.4,5.2,8405.340476031512,4.999440089971509
060570001023006,0,0,0,0,93,65.1,0,55.8,120.9,163459.89847578463,739.4339134476871
060570012072020,0,0,0,0,17,11.9,0,10.2,22.1,56009.79807680829,454.2799951440237
060570006022014,4,0,0,4,29,34.3,4.8,23,62.1,177354.83198184692,25280.64115057899
060570012074018,55,0,5,50,5,220.5,66,96.5,383,58878.50194463778,11548.947658248837
060570007013005,3,0,0,3,13,19.6,3.6,12,35.2,156126.35026525805,632.0892246958093
060570007014007,7,1,3,3,66,82.6,8.4,58.4,149.4,140189.09131789816,272.45938040802423
060570007016075,0,0,0,0,1,0.7,0,0.6,1.3,14816.155051838012,4.031346452107875
060570001073001,7,1,0,6,65,67.2,8.4,47.9,123.5,110854.75661185157,3638.1014280955155
060570001023004,4,3,0,1,98,74.2,4.8,61.7,140.7,169247.92293534707,1564.466171952948
060570009004226,1,1,0,0,2,2.1,1.2,1.7,5,56269.15876415989,263.9267951878302
060570005042011,0,0,0,0,10,7,0,6,13,164353.90121039227,7205.923461495334
060570012101013,3,3,0,0,19,15.4,3.6,12.9,31.9,55344.8805157079,560.4699490272086
060570012101014,0,0,0,0,8,5.6,0,4.8,10.4,56039.83375718792,717.8706312283558
060570012073002,0,0,0,0,13,9.1,0,7.8,16.9,58315.504778069386,7050.763123833851
060570012073026,0,0,0,0,7,4.9,0,4.2,9.1,57827.384819740684,4362.392618916173
060570007012011,0,0,0,0,2,1.4,0,1.2,2.6,58230.74962371943,17.478926107039708
060570005031007,3,0,0,3,16,21.7,3.6,13.8,39.1,169339.73012932477,3094.0285047509124
060570005042027,0,0,0,0,1,0.7,0,0.6,1.3,168903.96100781794,3605.828103351714
060570007014034,0,0,0,0,3,2.1,0,1.8,3.9,150938.05857321536,318.8597805018551
060570006011023,0,0,0,0,11,7.7,0,6.6,14.3,175347.85885718308,22924.07846640848
060570008024011,0,0,0,0,4,2.8,0,2.4,5.2,159025.6937481792,2327.3929703346666
060570005021007,0,0,0,0,12,8.4,0,7.2,15.6,175928.22753828758,20308.398308876796
060570001024000,0,0,0,0,5,3.5,0,3,6.5,137445.50552556556,372.59780209889
060570006023006,0,0,0,0,7,4.9,0,4.2,9.1,163745.52496611752,970.5774109502845
060570007021020,11,0,0,11,47,71.4,13.2,43.6,128.2,124979.15932911076,130.84554566760758
060570001021017,0,0,0,0,29,20.3,0,17.4,37.7,141625.51704796244,518.7070868783675
060570003002012,0,0,0,0,10,7,0,6,13,167006.68631950338,54.47104595965714
060570007022014,0,0,0,0,18,12.6,0,10.8,23.4,161087.07981984047,117.58888382809555
060570001074003,27,3,0,24,52,122.5,32.4,66.3,221.2,113444.03396406819,1970.582463875562
060570009002018,4,4,0,0,84,61.6,4.8,52.4,118.8,35443.065860800816,118.80804797919471
060570009001052,0,0,0,0,6,4.2,0,3.6,7.8,3841.1805195127686,6.999965046585359
060570004042003,3,0,0,3,7,15.4,3.6,8.4,27.4,22925.09022446653,32.80730128339067
060570007022019,3,0,0,3,31,32.2,3.6,22.8,58.6,157257.3223462924,100.39156406784973
060570005043009,1353,121,5,1227,89,4483.5,1623.6,1855.2,7962.3,171941.07997842305,26949.64396489099
060570004042002,1,0,0,1,39,30.8,1.2,24.8,56.8,79528.73404095271,86.01173447559133
060570005044002,152,36,49,67,390,944.3,182.4,576.1,1702.8,172557.07043479654,25745.176349646496
060570012073006,0,0,0,0,2,1.4,0,1.2,2.6,58063.76854519998,6033.179842539781
060570001022004,0,0,0,0,20,14,0,12,26,164562.03715734437,961.6027106316208
060570001022002,0,0,0,0,2,1.4,0,1.2,2.6,151064.81678045297,86.0661392998365
060570012072023,37,0,0,37,20,143.5,44.4,63.8,251.7,57873.92157245253,3660.316935622424
060570008012012,0,0,0,0,2,1.4,0,1.2,2.6,106996.92244343543,20.968652908585995
060570007014022,0,0,0,0,1,0.7,0,0.6,1.3,154228.3946942592,311.13058327117005
060570004043013,7,7,0,0,32,27.3,8.4,22.7,58.4,146053.3049044357,110.18833094337536
