id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
040190041093056,0,0,0,0,8,5.6,0,4.8,10.4,7456.8221638880905,202.86598618563826
040190044311018,0,0,0,0,82,57.4,0,49.2,106.6,662918.5527875772,3048.96657723011
040190040613017,0,0,0,0,3,2.1,0,1.8,3.9,261728.6940678472,146.2493099490618
040190040651009,0,0,0,0,20,14,0,12,26,1415572.3051565047,2891.171624741066
040190040682000,1832,32,12,1788,123,6467.3,2198.4,2649.4,11315.1,1990362.4604312398,23543.80709605554
040190044311020,0,0,0,0,11,7.7,0,6.6,14.3,936537.9552216429,3083.6646621582704
040190022012040,45,0,8,37,33,219.8,54,109.2,383,2423241.8568114336,29937.63702220048
040190030031004,0,0,0,0,23,16.1,0,13.8,29.9,2325480.879820385,56095.32804876723
040190026024004,19,0,0,19,225,224,22.8,161.6,408.4,2396688.0408392907,32204.62319554938
040190037061002,0,0,0,0,206,144.2,0,123.6,267.8,2395660.8390532346,25560.511743720792
040190029053005,0,0,0,0,28,19.6,0,16.8,36.4,2388114.732644931,24539.125842147823
040190045082012,0,0,0,0,14,9.8,0,8.4,18.2,2364573.4371489226,81792.02642691458
040190040771014,0,0,0,0,22,15.4,0,13.2,28.6,1878084.297722502,10892.64013200286
040190043353000,3,0,0,3,179,135.8,3.6,111.6,251,761740.9350161786,3051.3551644428035
040190032013015,0,0,0,0,10,7,0,6,13,2384847.6628024564,34521.956850729475
040190047153007,0,0,0,0,13,9.1,0,7.8,16.9,636204.5353362435,1622.5975670180703
040190040301021,1,0,0,1,11,11.2,1.2,8,20.4,1798659.1891809476,1570.1301123722292
040190046401023,0,0,0,0,2,1.4,0,1.2,2.6,559044.8349218298,58.473247997008144
040190043272001,44,7,0,37,84,193.2,52.8,105.7,351.7,719372.8844595193,8750.94537513542
040190043221009,0,0,0,0,19,13.3,0,11.4,24.7,1920727.8163559365,5235.503857232227
040190043123000,13,0,0,13,14,55.3,15.6,26.6,97.5,2064318.639264206,4052.120157260942
040190043131000,143,0,0,143,106,574.7,171.6,263.8,1010.1,119968.81274361057,1026.7808134925128
040190040371004,21,0,0,21,56,112.7,25.2,63,200.9,2125207.420492109,9709.579325187267
040190030032005,63,7,0,56,25,218.4,75.6,96.9,390.9,2272031.639148742,50626.08961482471
040190044402006,0,0,0,0,30,21,0,18,39,1656991.564934209,5021.207371109974
040190044401012,0,0,0,0,12,8.4,0,7.2,15.6,1503876.0130032485,3853.2789937014554
040190043132020,0,0,0,0,12,8.4,0,7.2,15.6,403614.2809841297,412.51022764914194
040190039021008,0,0,0,0,33,23.1,0,19.8,42.9,2263462.3086709967,10461.726510461094
040190040694000,574,5,4,565,147,2117.5,688.8,900.5,3706.8,2063275.7058631303,32985.683192074386
040190043122010,0,0,0,0,15,10.5,0,9,19.5,1819004.931424842,5422.1512357001275
040190040331000,159,0,84,75,218,1120.7,190.8,630.6,1942.1,2203979.8956480147,12756.065135510831
040190013041002,15,0,0,15,37,78.4,18,43.2,139.6,2462378.2689795387,25726.290218805265
040190040633011,0,0,0,0,6,4.2,0,3.6,7.8,1489230.0307968413,2668.9121949581922
040190046301023,2,0,0,2,6,11.2,2.4,6.4,20,1418261.6597532216,1675.6079837321786
040190040441002,0,0,0,0,15,10.5,0,9,19.5,1443035.7852290543,1774.3315317549223
040190040614032,0,0,0,0,6,4.2,0,3.6,7.8,41997.34620889595,14.804657125662455
040190047241005,1,1,0,0,45,32.2,1.2,27.5,60.9,2098357.2464845707,245.26893377356276
040190044181041,0,0,0,0,1,0.7,0,0.6,1.3,2124481.242048215,281.63998091533347
040190041122019,0,0,0,0,11,7.7,0,6.6,14.3,2359384.0508487783,4970.485516306794
040190043123023,17,0,1,16,14,74.2,20.4,35.5,130.1,1841458.6678504995,3806.0383872787247
040190041312004,4,0,0,4,62,57.4,4.8,42.8,105,2191803.0489736786,1974.8220480816574
040190047263006,1,0,0,1,32,25.9,1.2,20.6,47.7,2226323.250649618,1526.17299440417
040190040531008,2,0,2,0,10,23.8,2.4,15.4,41.6,1738723.9270415767,4518.689524297487
040190016004031,0,0,0,0,1,0.7,0,0.6,1.3,2424460.297362353,57069.177098605694
040190043201017,0,0,0,0,41,28.7,0,24.6,53.3,1272239.8280109786,8857.95143281482
040190035032033,0,0,0,0,32,22.4,0,19.2,41.6,2327202.569168535,10564.206510995396
040190040573006,0,0,0,0,28,19.6,0,16.8,36.4,1681262.5199701928,4411.834883158874
040190044241038,0,0,0,0,1,0.7,0,0.6,1.3,63047.062020496705,31.643174832511203
040190040323005,0,0,0,0,12,8.4,0,7.2,15.6,2010086.5755762714,15401.495631123496
040190040772005,0,0,0,0,10,7,0,6,13,1876245.0577354445,9237.547905535976
040190040633031,0,0,0,0,5,3.5,0,3,6.5,1449673.717582967,2277.8363553362406
040190043162016,0,0,0,0,14,9.8,0,8.4,18.2,127105.81358361995,104.63350572653097
040190040301005,12,0,0,12,12,50.4,14.4,23.999999999999996,88.8,2117492.887433539,8939.340533667277
040190043162023,0,0,0,0,35,24.5,0,21,45.5,48116.73008008486,70.48177085960656
040190044232015,0,0,0,0,55,38.5,0,33,71.5,571824.9060946853,646.7029338540151
040190046452006,1,1,0,0,55,39.2,1.2,33.5,73.9,1470220.203035202,2447.1647977805287
040190040512012,2,2,0,0,25,18.9,2.4,16,37.3,844984.5730227976,401.6313249422876
040190046281004,4,0,0,4,18,26.6,4.8,16.4,47.8,2035415.2646892755,15463.311481025848
040190047141007,0,0,0,0,13,9.1,0,7.8,16.9,2089154.801527316,5217.492530072776
040190046403015,6,2,0,4,18,28,7.2,17.4,52.6,987045.1244521633,4303.22533419236
040190046322006,3,0,0,3,35,35,3.6,25.2,63.8,1275311.384368669,2139.6058701726784
040190047144004,1042,5,329,708,307,5460,1250.4,2724.2,9434.6,2046895.706404324,9802.731098495226
040190043133034,0,0,0,0,2,1.4,0,1.2,2.6,9732.726812867408,115.37967161796793
040190046361007,2,0,0,2,51,42.7,2.4,33.4,78.5,1061270.5362866663,1368.9856686602475
040190040821020,0,0,0,0,3,2.1,0,1.8,3.9,430941.7694584775,416.17848311257666
040190046482021,0,0,0,0,19,13.3,0,11.4,24.7,778837.8300130769,1207.4507941548495
040190043172010,0,0,0,0,66,46.2,0,39.6,85.8,432298.884051528,3522.1924702204556
