id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
131530211142004,0,0,0,0,44,30.8,0,26.4,57.2,341391.65832681925,205.3469117582482
131530211153017,0,0,0,0,9,6.3,0,5.4,11.7,420424.3083290907,389.17960753635333
131530211153013,2,0,0,2,23,23.1,2.4,16.6,42.1,415513.2695085628,316.5572937035625
131530209001002,42,0,19,23,17,252,50.4,131.7,434.1,413988.09834087593,31469.48378303483
131530211191004,1,0,0,1,31,25.2,1.2,19.999999999999996,46.4,431149.7649374175,2665.7493463602427
131530211251003,7,0,0,7,118,107.1,8.4,80.6,196.1,427142.6023689561,1529.992387029558
131530211083019,0,0,0,0,4,2.8,0,2.4,5.2,429456.019554072,550.5793375709711
131530213004016,5,5,0,0,33,26.6,6,22.3,54.9,397772.72534490604,7406.927224711442
131530202003002,51,0,3,48,228,352.8,61.2,218.1,632.1,416411.1167255156,9384.748367968017
131530212043028,2,0,0,2,54,44.8,2.4,35.2,82.4,435248.53236135154,4777.447576185248
131530211153060,0,0,0,0,4,2.8,0,2.4,5.2,419921.5595425661,1787.6151432022689
131530211083004,0,0,0,0,13,9.1,0,7.8,16.9,416181.6146957393,185.00824379153897
132250404002032,4,0,4,0,36,58.8,4.8,40.4,104,336338.6869769087,11062.19773251868
132250404003007,0,0,0,0,16,11.2,0,9.6,20.8,312364.5279967474,7080.320031492434
131530201111006,0,0,0,0,2,1.4,0,1.2,2.6,393805.4227900274,6826.540615185249
132250402004018,0,0,0,0,14,9.8,0,8.4,18.2,340608.44977890846,40.19918476164282
131530212042009,3,0,0,3,133,103.6,3.6,84,191.2,434926.33576447074,1810.0999493356594
131530201122005,0,0,0,0,25,17.5,0,15,32.5,432377.66870389855,22474.748354258307
131530211161022,0,0,0,0,8,5.6,0,4.8,10.4,426576.92162601114,16170.237005241175
131530202004037,0,0,0,0,7,4.9,0,4.2,9.1,409634.72323577123,4170.824181358631
131530211231017,0,0,0,0,10,7,0,6,13,433153.8281755306,2128.611707087155
131530211203001,0,0,0,0,57,39.9,0,34.2,74.1,430233.2891130788,1719.2362490252283
131530204001037,2,2,0,0,2,2.8,2.4,2.2,7.4,395676.9136104525,9800.835111279039
131530201084010,0,0,0,0,9,6.3,0,5.4,11.7,430425.6639021632,19844.96827162762
131530207001003,0,0,0,0,25,17.5,0,15,32.5,403144.0698385874,9925.28279893137
131530210022014,0,0,0,0,19,13.3,0,11.4,24.7,423102.38122171885,11146.786948668128
131530211253007,0,0,0,0,9,6.3,0,5.4,11.7,435309.5574571445,2858.551475958181
132250401052022,0,0,0,0,39,27.3,0,23.4,50.7,329251.6494096338,67.70690261035531
132250402003005,0,0,0,0,24,16.8,0,14.4,31.2,368820.77282239136,7642.906620996337
132250404004008,0,0,0,0,2,1.4,0,1.2,2.6,322714.23265740194,4475.819108409403
131530207002036,0,0,0,0,19,13.3,0,11.4,24.7,402455.88949775026,7832.366493820694
131530211142005,0,0,0,0,9,6.3,0,5.4,11.7,385906.69325856987,381.86849486463876
131530214012026,1,1,0,0,19,13.999999999999998,1.2,11.9,27.1,390560.8403147998,5592.651707476633
131530203024012,2,0,2,0,6,21,2.4,13,36.4,392471.7332949391,14048.557972584442
131530201133008,0,0,0,0,12,8.4,0,7.2,15.6,421415.99425744073,606.3026645336068
131530211212004,6,0,0,6,7,25.9,7.2,12.6,45.7,419075.86021289334,4699.155266113835
131530201112012,0,0,0,0,17,11.9,0,10.2,22.1,404510.59085390746,5903.131431111691
131530209002000,58,5,22,31,59,338.1,69.6,184.7,592.4,408107.1022566302,27331.313161609727
131530209002005,98,0,3,95,12,366.1,117.6,154.3,638,414106.2310598188,30945.768295151644
131530211144015,0,0,0,0,20,14,0,12,26,403891.64782637684,2036.0813371121285
131530214022035,0,0,0,0,30,21,0,18,39,426967.4583269504,1649.1980561635303
131530203022024,0,0,0,0,20,14,0,12,26,378821.33515399037,3992.887799205055
131530212032010,0,0,0,0,1,0.7,0,0.6,1.3,422121.1293709498,49.96961722511187
131530213003049,0,0,0,0,11,7.7,0,6.6,14.3,377936.6207038207,447.51941098684784
131530214021064,0,0,0,0,17,11.9,0,10.2,22.1,396177.0784008486,820.9377947517529
131530212062011,0,0,0,0,12,8.4,0,7.2,15.6,425930.79575656814,392.4324641527808
132250404004050,0,0,0,0,7,4.9,0,4.2,9.1,307667.8232957281,213.43518856285965
132250404002024,0,0,0,0,9,6.3,0,5.4,11.7,332265.8937906698,11298.484112977567
132250404002006,0,0,0,0,4,2.8,0,2.4,5.2,366484.4560110446,16534.729136683345
131530210022005,0,0,0,0,23,16.1,0,13.8,29.9,419589.27616507484,12907.4153369269
131530202004008,0,0,0,0,20,14,0,12,26,413552.89233742596,3684.110318951766
131530211153008,0,0,0,0,12,8.4,0,7.2,15.6,413767.2035551223,881.5504532013991
131530201101009,41,0,26,15,155,379.4,49.2,236.2,664.8,400015.59018880955,6754.296315114887
131530214012010,2,2,0,0,23,17.5,2.4,14.8,34.7,410191.43990828545,11924.25865093607
131530212041011,0,0,0,0,7,4.9,0,4.2,9.1,421219.0377449023,359.4982708052259
131530215022117,0,0,0,0,1,0.7,0,0.6,1.3,95998.87196795923,2.8345761398063405
131530211163001,0,0,0,0,2,1.4,0,1.2,2.6,431690.4998367875,29423.94756303799
131530211204003,0,0,0,0,41,28.7,0,24.6,53.3,411658.88774195546,1221.2973728574402
131530215022048,0,0,0,0,7,4.9,0,4.2,9.1,232258.93850268718,15.321910445727731
131530213001017,2,0,0,2,51,42.7,2.4,33.4,78.5,264692.80574091955,77.99999111761505
131530212062021,22,22,0,0,1,16.1,26.4,11.6,54.1,432076.3886588858,684.6272071291993
131530211192000,283,15,20,248,155,1155,339.6,541.7,2036.3,418022.62814366625,14702.474032813509
131530214022017,0,0,0,0,56,39.2,0,33.6,72.8,373980.42478262534,123.72880507325172
131530213004007,6,6,0,0,10,11.2,7.2,9,27.4,402960.5269297868,14779.445097471858
131530201083021,0,0,0,0,55,38.5,0,33,71.5,424264.4366930768,19912.781091176246
131530202001006,0,0,0,0,12,8.4,0,7.2,15.6,404184.2266961633,19054.55262466736
131530211173025,0,0,0,0,21,14.7,0,12.6,27.3,432091.8287263103,16334.819099613202
131530211081029,0,0,0,0,3,2.1,0,1.8,3.9,433033.48219677585,1281.084645506034
131530214012019,0,0,0,0,6,4.2,0,3.6,7.8,402740.83596273203,6752.274159873078
131530203024014,0,0,0,0,4,2.8,0,2.4,5.2,399344.89832489466,13256.898464564329
131530213001020,0,0,0,0,1,0.7,0,0.6,1.3,384877.4231026803,208.3445074725326
131530210011010,13,0,2,11,29,75.6,15.6,42.2,133.4,428221.5281874353,10865.003851249709
131530201111017,0,0,0,0,14,9.8,0,8.4,18.2,413190.5613772433,4153.0906377242845
131530211163000,38,1,14,23,176,322,45.6,204.1,571.7,428730.6343588384,35129.41941514619
131530202001003,0,0,0,0,127,88.9,0,76.2,165.1,388952.8398224584,6865.495232420798
131530214013000,19,0,16,3,1,145.6,22.8,80,248.4,428508.5473872147,2942.4903257430924
131530201084016,63,1,17,45,16,312.2,75.6,153,540.8,432420.5726587932,44201.65812720853
132250402002010,0,0,0,0,12,8.4,0,7.2,15.6,370950.36084835394,7907.843663072549
131530207001012,0,0,0,0,29,20.3,0,17.4,37.7,407655.5459267253,7426.607932262448
132250403022017,0,0,0,0,15,10.5,0,9,19.5,354768.27987544803,15421.123262629502
131530201084007,0,0,0,0,17,11.9,0,10.2,22.1,429519.8582405622,10117.632420871098
131530201083000,0,0,0,0,36,25.2,0,21.6,46.8,416857.9619814243,1201.0223674456536
131530211144014,0,0,0,0,15,10.5,0,9,19.5,404714.1355304982,2050.750859498472
131530203023008,0,0,0,0,18,12.6,0,10.8,23.4,385195.35764187126,6896.735264660267
132250403012015,0,0,0,0,7,4.9,0,4.2,9.1,323379.46915744524,4602.502382199982
132250403022019,1,1,0,0,9,7,1.2,5.9,14.1,338010.21371527895,13962.991896592528
131530214022024,0,0,0,0,34,23.8,0,20.4,44.2,414671.97253316094,2316.9673652247725
131530208002014,0,0,0,0,9,6.3,0,5.4,11.7,401542.60798127454,13959.632180684215
131530212043032,0,0,0,0,28,19.6,0,16.8,36.4,435707.59866001946,4197.381587075434
132250403011009,0,0,0,0,1,0.7,0,0.6,1.3,254186.80103615922,74.66550901896088
132250401042008,0,0,0,0,13,9.1,0,7.8,16.9,419031.9344071941,283.9357762766948
132250402004026,0,0,0,0,2,1.4,0,1.2,2.6,295773.8498408789,2852.3503205592974
131530212031034,0,0,0,0,37,25.9,0,22.2,48.1,424104.7937974509,499.8340087181708
131530211172004,4,3,0,1,29,25.9,4.8,20.3,51,429553.55872809235,9245.144587006724
131530211141009,0,0,0,0,38,26.6,0,22.8,49.4,371224.1116930648,847.161033661438
131530212043004,672,0,0,672,182,2479.4,806.4,1050,4335.8,425224.90471972653,4581.820391199833
131530209002017,13,3,0,10,40,65.1,15.6,39.5,120.2,404322.21025220444,5025.080480236655
131530211082011,0,0,0,0,13,9.1,0,7.8,16.9,431907.669816615,4879.5951978906005
131530211192010,0,0,0,0,6,4.2,0,3.6,7.8,408446.57582811493,6066.8835058654195
131530211211027,0,0,0,0,17,11.9,0,10.2,22.1,419061.1516767346,393.0820985797749
132250403011046,0,0,0,0,3,2.1,0,1.8,3.9,132234.10193658425,79.84578991238986
131530211181001,0,0,0,0,45,31.5,0,27,58.5,407566.8601942149,10958.025631551194
131530215011057,0,0,0,0,2,1.4,0,1.2,2.6,51099.43621932633,2.2044287064630246
131530212062010,0,0,0,0,13,9.1,0,7.8,16.9,427847.65759613796,348.899632395228
132250402001019,0,0,0,0,10,7,0,6,13,300489.4749708039,120.16561732486733
132250401032021,0,0,0,0,21,14.7,0,12.6,27.3,417310.80219113315,2552.4149875173334
131530211253004,0,0,0,0,23,16.1,0,13.8,29.9,435455.8495777204,2975.5864542300114
131530211083017,0,0,0,0,26,18.2,0,15.6,33.8,427744.5388970868,1107.988736280325
131530202001026,0,0,0,0,16,11.2,0,9.6,20.8,403868.98135016015,15476.386545495727
131530204002032,0,0,0,0,2,1.4,0,1.2,2.6,389480.20789028774,10913.522493199629
131530202002011,0,0,0,0,9,6.3,0,5.4,11.7,403581.9031167287,12568.190148350652
131530213003072,0,0,0,0,13,9.1,0,7.8,16.9,403914.7810540061,3608.9403506788785
132250403022010,0,0,0,0,15,10.5,0,9,19.5,272591.03048920346,157.1998990465136
132250404002037,0,0,0,0,1,0.7,0,0.6,1.3,323760.74403431837,8488.940885739657
132250402002050,0,0,0,0,2,1.4,0,1.2,2.6,373745.863783392,87.67895593655389
131530211252001,19,0,0,19,90,129.5,22.8,80.6,232.9,435707.1034237793,4965.034492613602
131530201082025,0,0,0,0,61,42.7,0,36.6,79.3,414070.00443582627,3034.5347377556345
132250401031023,43,34,9,0,94,165.2,51.6,115.7,332.5,433727.67147214885,1558.9326097497335
132250402003012,0,0,0,0,15,10.5,0,9,19.5,368129.5001506236,13033.709318058573
132250401042002,0,0,0,0,9,6.3,0,5.4,11.7,406249.95203761477,148.68479156841843
132250404004056,0,0,0,0,3,2.1,0,1.8,3.9,384723.1833748637,117.33954243709736
131530211233006,0,0,0,0,7,4.9,0,4.2,9.1,436794.9433620502,7092.391135524835
131530211253014,0,0,0,0,15,10.5,0,9,19.5,435599.1712547387,3278.296925521912
131530201111031,0,0,0,0,30,21,0,18,39,401042.71481131273,8673.175159961274
131530211082017,0,0,0,0,4,2.8,0,2.4,5.2,433260.2855552435,5409.937525672911
131530213001050,0,0,0,0,3,2.1,0,1.8,3.9,397701.3262527783,1481.2172147066556
