id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
480770303021068,0,0,0,0,3,2.1,0,1.8,3.9,15334.651052703091,248.0124365303621
484850116002009,0,0,0,0,25,17.5,0,15,32.5,388096.57914497616,17762.15933763211
480090202001060,0,0,0,0,1,0.7,0,0.6,1.3,382.22819590626005,1.9999659985680034
484850101002008,0,0,0,0,2,1.4,0,1.2,2.6,387139.3131450223,26253.46763871132
480770303011010,0,0,0,0,3,2.1,0,1.8,3.9,98356.82691424065,226.10385779741858
484850104003016,0,0,0,0,1,0.7,0,0.6,1.3,387674.088455622,22086.435775455782
480090202002017,8,0,0,8,14,37.8,9.6,19.6,67,339862.02808283316,1292.401736348896
480090202002030,0,0,0,0,1,0.7,0,0.6,1.3,340462.58455089125,1351.56482598765
484850134012034,0,0,0,0,54,37.8,0,32.4,70.2,374438.4530194515,3644.864950032631
484850134012024,0,0,0,0,24,16.8,0,14.4,31.2,385448.9293976121,4051.9852008888415
484850119013012,6,0,0,6,139,118.3,7.2,91.8,217.3,380572.49526586157,11655.76026669415
484850109002021,0,0,0,0,15,10.5,0,9,19.5,388225.93923155154,18646.700334623238
484850126001028,0,0,0,0,12,8.4,0,7.2,15.6,386318.8177064738,35105.89665494716
484850131004013,0,0,0,0,21,14.7,0,12.6,27.3,388312.1874349849,7918.705381613399
484850137001053,0,0,0,0,7,4.9,0,4.2,9.1,173459.2059785825,1487.572078049275
484850116002006,7,0,4,3,17,56,8.4,33.2,97.6,386867.783565807,18543.456524293037
484850138003028,0,0,0,0,16,11.2,0,9.6,20.8,14214.755441405901,19.89256184313057
484850115002009,0,0,0,0,2,1.4,0,1.2,2.6,387252.0822283828,2935.66587219594
480770303013013,0,0,0,0,3,2.1,0,1.8,3.9,192428.14263060584,584.0066703766771
484850112001001,10,10,0,0,13,16.1,12,12.8,40.9,164634.94946877044,39.98715820274903
484850124021020,0,0,0,0,33,23.1,0,19.8,42.9,382683.2009597704,9441.5852471925
484850126003030,0,0,0,0,19,13.3,0,11.4,24.7,384295.9738242212,33159.62616923711
480090202002046,10,10,0,0,34,30.8,12,25.4,68.2,305444.1467051601,1143.9472840270362
484850135032008,15,14,0,1,63,57.4,18,46.2,121.6,252088.83751650498,1030.7322873909213
484850123012001,0,0,0,0,20,14,0,12,26,383086.2965818219,8844.99524070319
480770303021009,0,0,0,0,1,0.7,0,0.6,1.3,1796.2359739311714,0.9993379062125743
484850136004088,14,0,5,9,4,76.3,16.8,38.5,131.6,376402.66626202536,4132.533492282278
484850123021014,0,0,0,0,11,7.7,0,6.6,14.3,369972.20095390774,1622.3498511759935
484850124021011,0,0,0,0,19,13.3,0,11.4,24.7,382963.3956883509,10097.419695126522
484850138003098,0,0,0,0,6,4.2,0,3.6,7.8,354272.2288523158,253.14283702182277
484850114001022,0,0,0,0,12,8.4,0,7.2,15.6,384055.0047236721,1765.2160193793286
484850129002012,0,0,0,0,1,0.7,0,0.6,1.3,277121.4445421572,278.91259136479744
484850108001023,0,0,0,0,10,7,0,6,13,388234.00704616803,24638.981385226292
480770302002026,0,0,0,0,12,8.4,0,7.2,15.6,311856.3683011562,3089.257471431705
480770302001056,0,0,0,0,3,2.1,0,1.8,3.9,287169.85723018134,4253.965665346148
484850137001004,0,0,0,0,8,5.6,0,4.8,10.4,132295.6907266346,320.06239404179
484850110003011,0,0,0,0,8,5.6,0,4.8,10.4,389692.41159005533,25562.247583815362
484850135024018,0,0,0,0,6,4.2,0,3.6,7.8,344194.58724290837,1489.798757545006
484850131001016,0,0,0,0,14,9.8,0,8.4,18.2,253995.13027046347,163.49169284547258
484850136003035,0,0,0,0,19,13.3,0,11.4,24.7,375735.37981454085,7832.191747615774
484850132021016,0,0,0,0,36,25.2,0,21.6,46.8,380514.518260202,1992.8353502112247
480770302001000,0,0,0,0,4,2.8,0,2.4,5.2,271249.4536732448,3885.1765060452813
484850110002000,4,0,4,0,9,39.9,4.8,24.2,68.9,391411.9271832897,70808.31892151594
484850127002028,0,0,0,0,7,4.9,0,4.2,9.1,384781.2007767173,25186.549064010425
484850124023001,126,109,0,17,140,233.8,151.2,162.3,547.3,380511.6831157047,8115.948771340054
484850135023029,0,0,0,0,14,9.8,0,8.4,18.2,361163.53913212044,6156.669620419666
484850108002038,0,0,0,0,17,11.9,0,10.2,22.1,387080.6528649719,17808.441285610483
484850130002000,4,0,0,4,27,32.9,4.8,21.8,59.5,389420.3917029224,8110.697738268695
484850136004007,0,0,0,0,6,4.2,0,3.6,7.8,377153.0830198679,5745.0218281565985
484850138001023,0,0,0,0,6,4.2,0,3.6,7.8,110378.63936421761,6.98565382931171
484850131002002,0,0,0,0,9,6.3,0,5.4,11.7,388610.31651890505,2743.750175636828
480090202002041,0,0,0,0,10,7,0,6,13,340602.4304226877,1265.5960382023961
484850136005072,0,0,0,0,7,4.9,0,4.2,9.1,365919.112581092,2936.640151460822
484850135041023,0,0,0,0,7,4.9,0,4.2,9.1,352337.9803313238,9307.134067581721
484850121001026,0,0,0,0,8,5.6,0,4.8,10.4,384680.9737877044,36639.277871255974
484850135043018,0,0,0,0,10,7,0,6,13,361026.03490149596,15274.553547073723
480770303013040,0,0,0,0,2,1.4,0,1.2,2.6,213990.89974816906,1142.2025109182746
484850135024013,1,0,0,1,47,36.4,1.2,29.6,67.2,336141.975929714,2343.4780077069768
480770303013069,0,0,0,0,2,1.4,0,1.2,2.6,190193.69014826184,1113.5565450327197
484850124023005,17,17,0,0,30,32.9,20.4,26.5,79.8,383585.2414786243,18211.07704915138
484850120021002,0,0,0,0,12,8.4,0,7.2,15.6,385768.15481239895,17772.37851492455
484850124021014,3,3,0,0,45,33.6,3.6,28.5,65.7,380627.1505116643,8290.263771338483
484850124021003,184,0,0,184,1,644.7,220.8,258.2,1123.7,380021.1841128707,9642.341894761208
484850112002006,0,0,0,0,2,1.4,0,1.2,2.6,386457.67818070255,9282.924790222925
484850137001059,0,0,0,0,3,2.1,0,1.8,3.9,170897.52639254121,1437.1741883348934
484850121001000,184,3,90,91,39,1103.9,220.8,575.3,1900,385964.8143341689,51095.74877175909
484850106002018,0,0,0,0,35,24.5,0,21,45.5,389215.1927703249,30575.825253303472
480770303021217,0,0,0,0,6,4.2,0,3.6,7.8,662.6935612361594,12.756961782730663
484850136004078,0,0,0,0,7,4.9,0,4.2,9.1,375185.22218797123,3797.3320703533063
484850136004075,0,0,0,0,4,2.8,0,2.4,5.2,379167.13477861846,2837.1577979816907
484850117001017,0,0,0,0,23,16.1,0,13.8,29.9,387070.0672230778,15280.359926847521
484850112001040,1,0,0,1,49,37.8,1.2,30.8,69.8,296899.59696024377,100.90836130164988
484850118001010,4,4,0,0,23,18.9,4.8,15.8,39.5,381162.4345527049,10094.72191028115
484850101002032,30,0,0,30,4,107.8,36,44.4,188.2,387349.83905967465,38114.59335793172
484850122021019,0,0,0,0,9,6.3,0,5.4,11.7,382615.04844243766,14069.478352795804
484850119021004,0,0,0,0,11,7.7,0,6.6,14.3,386630.3818945238,19671.65090480567
484850111002034,0,0,0,0,15,10.5,0,9,19.5,389449.66222633823,20632.48034670511
484850111002001,0,0,0,0,3,2.1,0,1.8,3.9,386519.33483905945,7581.359838789782
480770302004022,0,0,0,0,7,4.9,0,4.2,9.1,297554.27919151675,3333.341825701489
484850132012009,0,0,0,0,20,14,0,12,26,381390.73542998504,6158.1620572542015
484850135024017,0,0,0,0,14,9.8,0,8.4,18.2,349789.62837048183,1799.3042726642875
484850119011011,0,0,0,0,20,14,0,12,26,382394.1477418239,9718.604427717826
484850137001071,0,0,0,0,4,2.8,0,2.4,5.2,156137.08934968614,1996.167080789886
480770303012031,0,0,0,0,1,0.7,0,0.6,1.3,9312.109306887889,1.0159663147235514
484850135042001,0,0,0,0,11,7.7,0,6.6,14.3,357606.4930705495,11926.89542445574
484850108001029,0,0,0,0,14,9.8,0,8.4,18.2,387418.48998745065,23235.613369770323
480770302003040,0,0,0,0,9,6.3,0,5.4,11.7,279798.67454354966,4466.359161898431
480770302001011,0,0,0,0,4,2.8,0,2.4,5.2,279990.8894872556,3855.132274669685
484850114002005,0,0,0,0,51,35.7,0,30.6,66.3,383317.83246843383,2000.898021604785
484850104002010,0,0,0,0,6,4.2,0,3.6,7.8,386183.6783007836,13917.129231419049
484850135043011,0,0,0,0,15,10.5,0,9,19.5,363172.41281694884,14897.880210268466
484850131002012,0,0,0,0,27,18.9,0,16.2,35.1,383639.618027578,1085.1706256350517
480090203002036,0,0,0,0,4,2.8,0,2.4,5.2,43444.37744415377,3420.5105731443978
484850108002031,43,0,0,43,2,151.9,51.6,61.4,264.9,387551.2316579161,21231.322147133058
484850128004004,19,19,0,0,15,23.8,22.8,18.5,65.1,369688.82826977794,816.7736134062935
484850109001016,1,0,0,1,7,8.4,1.2,5.6,15.2,388013.6196403318,15515.889919971913
484850114001005,31,27,0,4,7,37.8,37.2,23.3,98.3,379163.429679532,934.9141098139977
484850138002065,0,0,0,0,5,3.5,0,3,6.5,216435.97804470384,8.801054639479307
484850111001044,0,0,0,0,3,2.1,0,1.8,3.9,388756.82486911374,9850.972518440829
480770303013055,0,0,0,0,1,0.7,0,0.6,1.3,207463.2707887605,887.275606435648
484850112001049,14,14,0,0,42,39.2,16.8,32.2,88.2,358803.83564189554,123.03160455440413
484850122021006,0,0,0,0,10,7,0,6,13,383521.2296134007,21924.64369561448
484850122021012,0,0,0,0,36,25.2,0,21.6,46.8,384105.0477402935,26890.790310062057
484850135024027,0,0,0,0,10,7,0,6,13,337239.41204779694,930.0993883040505
484850120014004,55,0,0,55,31,214.2,66,95.6,375.8,381441.3601419907,13120.9595895108
480090203001023,0,0,0,0,5,3.5,0,3,6.5,297828.83458625176,104.12440937393838
484850131001083,0,0,0,0,8,5.6,0,4.8,10.4,355094.0939744464,174.89630268107
484850127003010,0,0,0,0,7,4.9,0,4.2,9.1,383326.5122196258,11842.841668606872
484850137001082,0,0,0,0,3,2.1,0,1.8,3.9,164950.0803554847,2727.77179450542
484850126001004,0,0,0,0,13,9.1,0,7.8,16.9,385803.1177394152,27211.9242563853
484850127002014,4,0,4,0,15,44.1,4.8,27.8,76.7,387060.42029502295,21369.185764818747
484850108002041,25,11,12,2,8,121.1,30,69.5,220.6,387861.76033273165,21826.033562558216
484850104002020,0,0,0,0,4,2.8,0,2.4,5.2,386894.8455298019,20387.709227682742
484850124021027,7,0,7,0,8,64.4,8.4,37.7,110.5,384249.13318973535,10392.46167339539
480090203001107,2,0,0,2,1,7.7,2.4,3.4,13.5,138950.52376834935,256.47402620029567
484850132013003,75,0,11,64,8,322,90,146.1,558.1,383652.61983719916,3514.5265734353184
484850138002003,1,1,0,0,8,6.3,1.2,5.3,12.8,64021.87417486605,12.093540695479659
484850104002021,0,0,0,0,3,2.1,0,1.8,3.9,385562.1753363276,20125.885372709385
484850135043009,0,0,0,0,5,3.5,0,3,6.5,353312.2142606506,12392.810516602221
480770302003049,0,0,0,0,6,4.2,0,3.6,7.8,279419.0913268078,4094.0820220619535
480770302001051,0,0,0,0,3,2.1,0,1.8,3.9,309689.26244756975,3675.741486210876
484850122012008,109,0,10,99,143,530.6,130.8,271.4,932.8,383222.3408869084,12604.261673074092
484850127001032,0,0,0,0,3,2.1,0,1.8,3.9,386337.18853601295,16989.532456592617
484850121001006,4,4,0,0,25,20.3,4.8,17,42.1,385410.29583837057,45061.89032548721
484850131001065,75,13,45,17,58,487.2,90,276.6,853.8,347783.8873218043,855.6281693953791
484850111001033,0,0,0,0,2,1.4,0,1.2,2.6,387322.8419439691,6322.424333725855
484850112002013,0,0,0,0,14,9.8,0,8.4,18.2,386914.1205979594,6246.059796325399
484850111002008,60,34,0,26,2,116.2,72,54.6,242.8,388516.75861444103,14127.813906718997
484850135023017,0,0,0,0,14,9.8,0,8.4,18.2,364676.0484618682,10714.78246713708
484850129001016,0,0,0,0,1,0.7,0,0.6,1.3,381454.5651289867,347.702022320687
484850135032002,0,0,0,0,7,4.9,0,4.2,9.1,346530.9582382763,5974.058368140569
484850126003011,0,0,0,0,16,11.2,0,9.6,20.8,386744.789947299,42272.43516853029
484850121002017,2,2,0,0,31,23.1,2.4,19.6,45.1,384249.1253849013,24644.3929950237
484850123012002,0,0,0,0,19,13.3,0,11.4,24.7,382827.79357668915,8772.623080037632
480770302004030,0,0,0,0,4,2.8,0,2.4,5.2,284398.5386447888,2608.7134826914707
484850113001022,0,0,0,0,4,2.8,0,2.4,5.2,385590.99019435595,2113.021426940138
484850104003004,0,0,0,0,13,9.1,0,7.8,16.9,386123.91012286063,4620.6299605397035
484850101002061,0,0,0,0,9,6.3,0,5.4,11.7,386823.6336626437,12994.637190822601
484850138001100,0,0,0,0,2,1.4,0,1.2,2.6,7250.069133007803,1.9958897212595648
480770302002044,0,0,0,0,5,3.5,0,3,6.5,302767.7258646896,3136.4434181246093
480770303021066,0,0,0,0,3,2.1,0,1.8,3.9,14706.874980940933,259.6930501049238
480770303021074,0,0,0,0,1,0.7,0,0.6,1.3,15330.005960944029,310.46672223846696
484850132022002,0,0,0,0,42,29.4,0,25.2,54.6,380825.7791733665,2348.82679437314
484850104003000,0,0,0,0,21,14.7,0,12.6,27.3,384701.6440711229,4858.590819344646
484850137003004,0,0,0,0,6,4.2,0,3.6,7.8,137425.0261663834,2876.099705745573
484850108002011,0,0,0,0,17,11.9,0,10.2,22.1,387315.3681938332,17495.76359069244
484850130001010,25,21,0,4,12,37.1,30,23.3,90.4,387863.2918312788,5589.322244525858
484850118002013,0,0,0,0,7,4.9,0,4.2,9.1,388174.3519150945,10964.380245588121
484850138003081,9,0,9,0,1,76.3,10.8,42.9,130,252969.5279732544,216.1806063218277
484850138001218,9,6,0,3,105,88.2,10.8,70.2,169.2,209609.09182253154,2737.5110009458963
480090203004012,0,0,0,0,7,4.9,0,4.2,9.1,44205.61552239864,3552.2069042653566
480770303011011,0,0,0,0,3,2.1,0,1.8,3.9,99059.73462263403,226.10881081183683
484850135042017,16,0,11,5,25,127.4,19.2,73.7,220.3,358640.3047324377,12412.965821257349
484850136002013,0,0,0,0,15,10.5,0,9,19.5,374455.33322162286,6322.406220380851
484850116001055,0,0,0,0,7,4.9,0,4.2,9.1,387657.88423149637,18638.71053787571
484850114001026,0,0,0,0,39,27.3,0,23.4,50.7,383890.4757333795,2227.974096595612
484850136006000,0,0,0,0,9,6.3,0,5.4,11.7,375691.6418956719,2918.796551623786
484850109001014,0,0,0,0,5,3.5,0,3,6.5,388113.8197925757,10294.7863750293
480090202002034,0,0,0,0,6,4.2,0,3.6,7.8,334788.6658317372,1298.39920573624
480090201001019,0,0,0,0,20,14,0,12,26,367272.9128427255,794.6083588346629
480090203004015,0,0,0,0,18,12.6,0,10.8,23.4,44365.471991538354,3237.68854623398
484850126001009,125,0,0,125,167,554.4,150,275.2,979.6,383168.375196438,25759.546686466223
484850112001041,0,0,0,0,4,2.8,0,2.4,5.2,366199.9002757107,34.72847031000996
484850114002014,0,0,0,0,58,40.6,0,34.8,75.4,387718.4740273219,1884.5085393967463
484850137001085,0,0,0,0,8,5.6,0,4.8,10.4,167486.6325280919,2343.767204742445
484850127001004,0,0,0,0,17,11.9,0,10.2,22.1,386531.3663606395,14606.507517931475
484850109001005,0,0,0,0,3,2.1,0,1.8,3.9,386129.53999015735,14768.35223924449
484850109002032,0,0,0,0,13,9.1,0,7.8,16.9,387521.1753537059,14985.231784037429
484850136004035,0,0,0,0,69,48.3,0,41.4,89.7,363865.00455121044,3477.506563284344
484850117001013,0,0,0,0,24,16.8,0,14.4,31.2,387339.23622430966,15418.136941239138
484850137002013,0,0,0,0,2,1.4,0,1.2,2.6,173315.3271132064,1476.5485459482654
484850135022012,0,0,0,0,30,21,0,18,39,357118.35667268705,3763.126215874766
484850124023010,0,0,0,0,44,30.8,0,26.4,57.2,383039.66660285665,10756.886075882598
484850101002086,0,0,0,0,2,1.4,0,1.2,2.6,388492.6245714152,14579.35959954477
484850137001065,0,0,0,0,5,3.5,0,3,6.5,183556.17188188032,1241.3084073664484
484850124023012,77,0,0,77,34,293.3,92.4,128.2,513.9,383175.7993362424,17740.925859343377
484850112002012,0,0,0,0,3,2.1,0,1.8,3.9,387262.2265946112,8245.602071633466
484850112001008,0,0,0,0,9,6.3,0,5.4,11.7,350004.66688617005,33.453100728612405
480770302004021,2,0,0,2,3,9.1,2.4,4.6,16.1,301644.6038035059,3353.9426672051773
480770302004020,0,0,0,0,6,4.2,0,3.6,7.8,302169.0138701178,3279.812733489206
484850131003017,4,2,2,0,27,37.1,4.8,26.6,68.5,384528.1067757122,1293.165387148039
484850138002015,0,0,0,0,32,22.4,0,19.2,41.6,168516.23597168602,60.70506048642148
484850138001098,0,0,0,0,1,0.7,0,0.6,1.3,16064.146108511022,1.0012665972502166
484850138001099,0,0,0,0,1,0.7,0,0.6,1.3,8595.929927666548,1.0023716317445108
480770302001071,0,0,0,0,3,2.1,0,1.8,3.9,298334.38015454746,3649.7890523317324
480770302001078,0,0,0,0,3,2.1,0,1.8,3.9,304507.45836669137,3280.137131973606
480770302001077,0,0,0,0,5,3.5,0,3,6.5,302180.73885278206,3151.9755364216967
484850135043020,21,0,4,17,10,100.1,25.2,48.6,173.9,364656.6939491682,13340.097269430395
484850107002008,0,0,0,0,10,7,0,6,13,389263.31688838353,50760.07420565215
484850104001040,0,0,0,0,87,60.9,0,52.2,113.1,385994.5051876608,9766.84869615749
484850104003018,0,0,0,0,4,2.8,0,2.4,5.2,386929.5293966687,12966.845076099607
484850138002073,0,0,0,0,4,2.8,0,2.4,5.2,316837.40680167923,5.401468137964001
484850118001013,0,0,0,0,11,7.7,0,6.6,14.3,384028.723690419,7774.977621242246
484850106001035,0,0,0,0,10,7,0,6,13,388589.0703496091,17777.0460667832
484850135042002,1,1,0,0,19,13.999999999999998,1.2,11.9,27.1,361282.6445103365,11216.697124592138
480090202001249,0,0,0,0,8,5.6,0,4.8,10.4,168.39098778658982,89.43919846477695
484850136004069,0,0,0,0,3,2.1,0,1.8,3.9,376877.9771628747,4283.583847728419
484850136004049,0,0,0,0,5,3.5,0,3,6.5,374184.2651372798,4511.1385806244
484850138002049,0,0,0,0,7,4.9,0,4.2,9.1,50231.79916191329,10.065761450217291
484850138002062,0,0,0,0,1,0.7,0,0.6,1.3,96719.38070609947,17.227993373823253
480090202002049,0,0,0,0,9,6.3,0,5.4,11.7,334863.04515267286,1337.4851765733063
484850135022021,0,0,0,0,3,2.1,0,1.8,3.9,354714.14188111597,2567.375042538132
484850129002006,7,7,0,0,34,28.7,8.4,23.9,60.99999999999999,326902.7197551782,61.216305848430686
484850109002008,0,0,0,0,10,7,0,6,13,388227.80736956705,19587.543123020903
484850109002033,4,0,0,4,10,21,4.8,11.6,37.4,387938.68583733146,17383.866396577745
484850124022006,0,0,0,0,10,7,0,6,13,384705.3896096701,12578.803994112592
484850119011010,0,0,0,0,11,7.7,0,6.6,14.3,380890.7335545507,7775.04463940058
484850137001058,0,0,0,0,2,1.4,0,1.2,2.6,167218.09087291342,1566.7136525682924
484850126001000,0,0,0,0,14,9.8,0,8.4,18.2,385343.93783660635,22841.066699919134
484850106001041,3,0,0,3,19,23.8,3.6,15.6,43,387241.3021219149,16871.793441900067
480770302001020,0,0,0,0,9,6.3,0,5.4,11.7,289534.3515395551,3522.051551833122
484850137001041,1,1,0,0,4,3.5,1.2,2.9,7.6,201035.7728169346,1164.5740585161345
484850122022008,0,0,0,0,27,18.9,0,16.2,35.1,384608.69406798336,16424.63828803468
484850132011016,0,0,0,0,9,6.3,0,5.4,11.7,386383.40797006595,4048.9077940705433
484850117001014,23,0,1,22,54,123.2,27.6,67.9,218.7,386456.1749519077,16424.449315958074
484850104002013,0,0,0,0,5,3.5,0,3,6.5,388033.7398423055,21911.80974376103
480090203001103,0,0,0,0,2,1.4,0,1.2,2.6,120345.07196287271,323.2101355816909
480770303011002,0,0,0,0,1,0.7,0,0.6,1.3,1956.8414867686593,0.99862170971359
484850101001022,14,2,9,3,2,88.9,16.8,48.7,154.4,390049.74112400535,65399.4573558795
484850135024035,0,0,0,0,2,1.4,0,1.2,2.6,321553.928928033,3.4751774281463472
484850135022010,0,0,0,0,40,28,0,24,52,360719.31141275284,4105.995588843856
