id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
485059504021048,0,0,0,0,3,2.1,0,1.8,3.9,13439.94194619412,21.65251777683626
485059503062053,4,0,0,4,3,16.1,4.8,7.4,28.3,16362.209555512283,6621.277425035347
485059504011002,0,0,0,0,20,14,0,12,26,15798.487389037955,70.92513677793974
485059503051009,0,0,0,0,3,2.1,0,1.8,3.9,15560.49430343857,1312.8025390624684
485059503062036,0,0,0,0,10,7,0,6,13,16260.666715273162,6700.42589455326
485059503042026,0,0,0,0,6,4.2,0,3.6,7.8,16150.075226589046,3389.829197836834
485059503043010,0,0,0,0,7,4.9,0,4.2,9.1,16140.258199926204,3835.0271267422218
485059503052020,0,0,0,0,6,4.2,0,3.6,7.8,16283.563997990692,5199.150218929678
485059504012018,0,0,0,0,4,2.8,0,2.4,5.2,16280.639776536327,809.3245515912191
485059504021055,0,0,0,0,4,2.8,0,2.4,5.2,11841.410373603974,5.0076904663534085
485059504012049,0,0,0,0,9,6.3,0,5.4,11.7,16141.02712833652,572.8207728705117
485059503031056,0,0,0,0,9,6.3,0,5.4,11.7,16224.092142835463,4056.2539998007796
485059504012008,0,0,0,0,7,4.9,0,4.2,9.1,16342.00746460185,1087.1620641937034
485059503052078,0,0,0,0,9,6.3,0,5.4,11.7,16277.25991924106,3444.6120548431745
485059504023013,0,0,0,0,3,2.1,0,1.8,3.9,16061.751357330846,1533.0339289904493
485059503031038,0,0,0,0,2,1.4,0,1.2,2.6,16220.994224455633,3617.7794175947333
485059503041009,0,0,0,0,14,9.8,0,8.4,18.2,16120.424842594695,2431.2761886315375
485059503062048,5,0,0,5,4,20.3,6,9.4,35.7,16352.391598324133,6821.621786400197
485059503051019,0,0,0,0,6,4.2,0,3.6,7.8,15483.973425839162,1304.2415806715317
485059503031005,0,0,0,0,6,4.2,0,3.6,7.8,16188.087931035585,1945.8008684126048
485059504011004,0,0,0,0,10,7,0,6,13,16271.915194890451,1127.3633397074711
485059504023014,0,0,0,0,4,2.8,0,2.4,5.2,16082.585963143863,1776.9520084684684
485059503041029,0,0,0,0,12,8.4,0,7.2,15.6,16177.05066811443,2671.721268261615
485059503042021,0,0,0,0,5,3.5,0,3,6.5,16173.162008157637,3638.6229804338573
485059504021044,0,0,0,0,1,0.7,0,0.6,1.3,13033.403248703591,21.922157482245087
485059503031022,0,0,0,0,5,3.5,0,3,6.5,16253.158652578873,2957.9097781260593
485059503052039,0,0,0,0,1,0.7,0,0.6,1.3,15781.721715672988,69.20924247772638
485059504023009,0,0,0,0,5,3.5,0,3,6.5,16069.115385257783,1613.806210117445
485059503052028,0,0,0,0,6,4.2,0,3.6,7.8,16349.146534962012,6746.875318267103
485059503062039,0,0,0,0,6,4.2,0,3.6,7.8,16296.232772635774,6237.506181568285
485059503031061,0,0,0,0,6,4.2,0,3.6,7.8,16258.019536866741,4841.19243665683
485059504024208,0,0,0,0,1,0.7,0,0.6,1.3,15921.64327372251,40.398475404912766
485059504022092,0,0,0,0,5,3.5,0,3,6.5,15041.422973837865,455.93922555823724
485059504012050,0,0,0,0,3,2.1,0,1.8,3.9,15984.315367436817,464.03424102901846
485059503051055,0,0,0,0,3,2.1,0,1.8,3.9,15472.610934385688,1241.6136834306492
485059503062040,0,0,0,0,13,9.1,0,7.8,16.9,16294.456437434917,6397.861657466684
485059503051047,0,0,0,0,2,1.4,0,1.2,2.6,15515.951448392743,1298.1873997634166
485059503043012,0,0,0,0,15,10.5,0,9,19.5,16157.23256068219,3931.911118514128
485059503051004,174,0,1,173,75,666.4,208.8,291.9,1167.1,15668.32222998501,1318.4953948627713
485059504023011,0,0,0,0,5,3.5,0,3,6.5,16118.793042047504,1966.9014243800507
485059503052038,0,0,0,0,5,3.5,0,3,6.5,16328.827767824938,6308.422697619535
485059504021043,0,0,0,0,2,1.4,0,1.2,2.6,13033.293469846456,21.91618446606968
485059503052022,0,0,0,0,7,4.9,0,4.2,9.1,16282.785346012084,4794.508259497946
485059503062064,0,0,0,0,8,5.6,0,4.8,10.4,16341.408977160807,5973.3649642703795
485059503041004,0,0,0,0,26,18.2,0,15.6,33.8,16084.322288605115,2379.2600379907735
485059503052050,0,0,0,0,4,2.8,0,2.4,5.2,16312.394421440471,3547.524601541862
485059503031031,0,0,0,0,10,7,0,6,13,16189.843695378913,2592.148252364636
485059503043002,0,0,0,0,13,9.1,0,7.8,16.9,16150.536509722617,3732.459020055321
485059503062007,0,0,0,0,2,1.4,0,1.2,2.6,16348.716837761316,6875.79768192435
485059503051053,0,0,0,0,4,2.8,0,2.4,5.2,15500.946212076027,1305.6704964126448
485059503051052,0,0,0,0,3,2.1,0,1.8,3.9,15587.958066264948,1317.4809946864216
485059503062012,0,0,0,0,23,16.1,0,13.8,29.9,16251.781966985378,6964.084328596497
485059503062042,0,0,0,0,8,5.6,0,4.8,10.4,16289.687758450566,6568.870991515907
485059503031025,0,0,0,0,4,2.8,0,2.4,5.2,16228.002061226935,2448.4583303199
485059503052016,0,0,0,0,3,2.1,0,1.8,3.9,16288.395483950191,4949.313079447129
485059503041017,0,0,0,0,18,12.6,0,10.8,23.4,16146.97444168085,2701.1700057071835
485059504011027,0,0,0,0,24,16.8,0,14.4,31.2,16384.844587282467,1509.3793348146673
485059504011028,0,0,0,0,19,13.3,0,11.4,24.7,16362.384528497556,1812.4927895271753
485059504012036,0,0,0,0,13,9.1,0,7.8,16.9,16162.9769116095,588.3424252182996
485059504022108,0,0,0,0,1,0.7,0,0.6,1.3,15002.816021846882,477.5425408976569
485059504012001,0,0,0,0,4,2.8,0,2.4,5.2,16306.929326425128,551.7831964379247
485059503061032,1,1,0,0,12,9.1,1.2,7.7,17.999999999999996,16153.029231629049,3623.490702730733
485059503043031,0,0,0,0,10,7,0,6,13,16202.292197137014,4435.471205557321
485059503052017,0,0,0,0,3,2.1,0,1.8,3.9,16328.413262513597,5230.9672180373545
485059503061014,0,0,0,0,5,3.5,0,3,6.5,16220.428244117746,5705.032596774833
485059504011018,0,0,0,0,16,11.2,0,9.6,20.8,16265.217143292537,1061.3854504715032
485059503041010,0,0,0,0,27,18.9,0,16.2,35.1,16126.326853749579,2435.0175389949864
485059504012059,0,0,0,0,6,4.2,0,3.6,7.8,16219.959691450149,613.2163664365521
485059503031069,0,0,0,0,5,3.5,0,3,6.5,16315.436558185234,4191.801811082583
485059504011029,4,4,0,0,3,4.9,4.8,3.8,13.5,16362.384564698554,1853.2442950431146
485059504012068,0,0,0,0,5,3.5,0,3,6.5,16158.814155434042,601.7300230965858
485059504012021,0,0,0,0,10,7,0,6,13,16309.938452937076,720.0157150565959
485059504012035,0,0,0,0,25,17.5,0,15,32.5,16230.525894237919,600.6359632138281
485059504023002,0,0,0,0,2,1.4,0,1.2,2.6,16044.437908954314,1635.0667544988646
485059503041022,0,0,0,0,2,1.4,0,1.2,2.6,16126.933469755868,2693.161014213958
485059503062038,0,0,0,0,9,6.3,0,5.4,11.7,16296.715321513226,6038.312722016496
485059503062041,0,0,0,0,10,7,0,6,13,16290.39071452269,6493.656392235762
485059503052065,0,0,0,0,8,5.6,0,4.8,10.4,16381.88361987722,6324.88474416044
485059503043015,0,0,0,0,5,3.5,0,3,6.5,16187.236877332054,4298.376939866624
485059503042004,0,0,0,0,12,8.4,0,7.2,15.6,16128.99831970255,3153.4556729841183
485059504012069,0,0,0,0,5,3.5,0,3,6.5,16145.161934311152,593.316525584133
485059504021101,0,0,0,0,5,3.5,0,3,6.5,8465.994776069505,525.8282074192067
485059504022029,0,0,0,0,7,4.9,0,4.2,9.1,12533.068827003206,8.99940286132309
485059503052058,0,0,0,0,2,1.4,0,1.2,2.6,15895.474040667277,61.7505912329218
485059503062026,0,0,0,0,11,7.7,0,6.6,14.3,16272.161180628105,5746.740318246806
485059503042023,0,0,0,0,3,2.1,0,1.8,3.9,16160.195534948327,3587.867490775709
485059503031003,0,0,0,0,4,2.8,0,2.4,5.2,16197.45303260913,1715.8131856252908
485059504012013,0,0,0,0,4,2.8,0,2.4,5.2,16139.90579336543,623.6348296816193
485059503052035,0,0,0,0,6,4.2,0,3.6,7.8,16342.822244222534,4305.423199304817
485059504011025,0,0,0,0,18,12.6,0,10.8,23.4,16365.210713352972,1453.6258433526602
485059503042006,0,0,0,0,8,5.6,0,4.8,10.4,16140.552273338535,3153.38040905162
485059504011015,11,11,0,0,10,14.7,13.2,11.5,39.4,16374.720048989397,1802.0358394626267
485059503031047,0,0,0,0,10,7,0,6,13,16208.251083465815,5021.933369249726
485059504012061,0,0,0,0,7,4.9,0,4.2,9.1,16061.391143424067,521.6397235490243
485059504021096,0,0,0,0,1,0.7,0,0.6,1.3,7503.2487008295675,525.8830743443592
485059503051041,0,0,0,0,1,0.7,0,0.6,1.3,15761.994750449112,68.76295611967659
485059503031043,0,0,0,0,13,9.1,0,7.8,16.9,16226.299456985042,4169.314250703559
485059504012067,0,0,0,0,7,4.9,0,4.2,9.1,16172.234719026457,609.623536177036
